mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	decrescendo_hairpin	crescendo_line	crescendo_hairpin
20	20	307/4	307/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16		1/16	1	545													
20	20	77	77	0.25	1/4	1/4	Chord	4/4	2	1	1/16		1/16	1	546													
20	20	309/4	309/4	0.25	5/16	5/16	Chord	4/4	2	1	1/16		1/16	1	547													
20	20	155/2	155/2	0.25	3/8	3/8	Chord	4/4	2	1	1/16		1/16	1	548													
20	20	311/4	311/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16		1/16	1	549													
20	20	78	78	0.25	1/2	1/2	Chord	4/4	2	1	1/16		1/16	1	550													
20	20	313/4	313/4	0.25	9/16	9/16	Chord	4/4	2	1	1/16		1/16	1	551													
20	20	157/2	157/2	0.25	5/8	5/8	Chord	4/4	2	1	1/16		1/16	1	552													
20	20	315/4	315/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16		1/16	1	553													
20	20	79	79	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	554													
20	20	76	76	0.5	0	0	Chord	4/4	3	1	1/8		1/8	1	555													
20	20	153/2	153/2	0.5	1/8	1/8	Chord	4/4	3	1	1/8		1/8	1	556													
20	20	77	77	0.5	1/4	1/4	Chord	4/4	3	1	1/8		1/8	1	557													
20	20	155/2	155/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8		1/8	1	558													
20	20	78	78	0.0	1/2	1/2	Spanner	4/4	3	1	0																	0
20	20	78	78	1.0	1/2	1/2	Chord	4/4	3	1	1/4		1/4	1	559													0
20	20	79	79	0.0	3/4	3/4	Spanner	4/4	3	1	0																	
20	20	79	79	0.25	3/4	3/4	Chord	4/4	3	1	1/16		1/16	1	560										35			
20	20	317/4	317/4	0.25	13/16	13/16	Chord	4/4	3	1	1/16		1/16	1	561										35			
20	20	159/2	159/2	0.25	7/8	7/8	Chord	4/4	3	1	1/16		1/16	1	562										35			
20	20	319/4	319/4	0.25	15/16	15/16	Chord	4/4	3	1	1/16		1/16	1	563													
21	21	80	80	0.0	0	0	Dynamic	4/4	1	1	0						mp											
21	21	80	80	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	564	ob												
21	21	81	81	0.25	1/4	1/4	Chord	4/4	1	1	1/16		1/16	1	565													
21	21	325/4	325/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16		1/16	1	566													
21	21	163/2	163/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16		1/16	1	567	a-									36			
21	21	327/4	327/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	568													
21	21	82	82	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	569	-mo-												
21	21	83	83	0.25	3/4	3/4	Chord	4/4	1	1	1/16		1/16	1	570													
21	21	333/4	333/4	0.125	13/16	13/16	Chord	4/4	1	1	1/32		1/32	1	571													
21	21	667/8	667/8	0.125	27/32	27/32	Chord	4/4	1	1	1/32		1/32	1	572													
21	21	167/2	167/2	0.125	7/8	7/8	Chord	4/4	1	1	1/32		1/32	1	573													
21	21	669/8	669/8	0.125	29/32	29/32	Chord	4/4	1	1	1/32		1/32	1	574													
21	21	335/4	335/4	0.125	15/16	15/16	Chord	4/4	1	1	1/32		1/32	1	575													
21	21	671/8	671/8	0.125	31/32	31/32	Chord	4/4	1	1	1/32		1/32	1	576										37			
21	21	80	80	0.25	0	0	Chord	4/4	2	1	1/16		1/16	1	577										38			
21	21	321/4	321/4	0.125	1/16	1/16	Chord	4/4	2	1	1/32		1/32	1	578										38			
21	21	643/8	643/8	0.125	3/32	3/32	Chord	4/4	2	1	1/32		1/32	1	579										38			
21	21	161/2	161/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	580										38			
21	21	81	81	0.25	1/4	1/4	Chord	4/4	2	1	1/16		1/16	1	581													
21	21	325/4	325/4	0.125	5/16	5/16	Chord	4/4	2	1	1/32		1/32	1	582										39			
21	21	651/8	651/8	0.125	11/32	11/32	Chord	4/4	2	1	1/32		1/32	1	583										39			
21	21	163/2	163/2	0.125	3/8	3/8	Chord	4/4	2	1	1/32		1/32	1	584										39			
21	21	653/8	653/8	0.125	13/32	13/32	Chord	4/4	2	1	1/32		1/32	1	585										39			
21	21	327/4	327/4	0.125	7/16	7/16	Chord	4/4	2	1	1/32		1/32	1	586										39			
21	21	655/8	655/8	0.125	15/32	15/32	Chord	4/4	2	1	1/32		1/32	1	587										39			
21	21	82	82	0.25	1/2	1/2	Chord	4/4	2	1	1/16		1/16	1	588													
21	21	329/4	329/4	0.125	9/16	9/16	Chord	4/4	2	1	1/32		1/32	1	589										40			
21	21	659/8	659/8	0.125	19/32	19/32	Chord	4/4	2	1	1/32		1/32	1	590										40			
21	21	165/2	165/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	591										40			
21	21	83	83	0.25	3/4	3/4	Chord	4/4	2	1	1/16		1/16	1	592													
21	21	333/4	333/4	0.125	13/16	13/16	Chord	4/4	2	1	1/32		1/32	1	593										41			
21	21	667/8	667/8	0.125	27/32	27/32	Chord	4/4	2	1	1/32		1/32	1	594										41			
21	21	167/2	167/2	0.125	7/8	7/8	Chord	4/4	2	1	1/32		1/32	1	595										41			
21	21	669/8	669/8	0.125	29/32	29/32	Chord	4/4	2	1	1/32		1/32	1	596										41			
21	21	335/4	335/4	0.125	15/16	15/16	Chord	4/4	2	1	1/32		1/32	1	597										41			
21	21	671/8	671/8	0.125	31/32	31/32	Chord	4/4	2	1	1/32		1/32	1	598										41			
21	21	80	80	0.5	0	0	Chord	4/4	2	2	1/8		1/8	1	599													
21	21	161/2	161/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8		1/8	1	600													
21	21	81	81	0.5	1/4	1/4	Chord	4/4	2	2	1/8		1/8	1	601													
21	21	163/2	163/2	0.25	3/8	3/8	Chord	4/4	2	2	1/16		1/16	1	602													
21	21	327/4	327/4	0.25	7/16	7/16	Chord	4/4	2	2	1/16		1/16	1	603													
21	21	165/2	165/2	0.5	5/8	5/8	Chord	4/4	2	2	1/8		1/8	1	604													
21	21	83	83	0.5	3/4	3/4	Chord	4/4	2	2	1/8		1/8	1	605													
21	21	167/2	167/2	0.25	7/8	7/8	Chord	4/4	2	2	1/16		1/16	1	606													
21	21	335/4	335/4	0.25	15/16	15/16	Chord	4/4	2	2	1/16		1/16	1	607													
21	21	80	80	0.0	0	0	Dynamic	4/4	3	1	0						mf											
21	21	80	80	0.5	0	0	Chord	4/4	3	1	1/8		1/8	1	608													
21	21	161/2	161/2	0.5	1/8	1/8	Chord	4/4	3	1	1/8		1/8	1	609													
21	21	81	81	0.5	1/4	1/4	Chord	4/4	3	1	1/8		1/8	1	610													
21	21	163/2	163/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8		1/8	1	611													
21	21	82	82	0.0	1/2	1/2	Dynamic	4/4	3	1	0						p											
21	21	82	82	0.5	1/2	1/2	Chord	4/4	3	1	1/8		1/8	1	612													
21	21	165/2	165/2	0.5	5/8	5/8	Chord	4/4	3	1	1/8		1/8	1	613													
21	21	83	83	0.5	3/4	3/4	Chord	4/4	3	1	1/8		1/8	1	614													
21	21	167/2	167/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8		1/8	1	615													
22	22	84	84	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	616													
22	22	85	85	0.25	1/4	1/4	Chord	4/4	1	1	1/16		1/16	1	617													
22	22	341/4	341/4	0.125	5/16	5/16	Chord	4/4	1	1	1/32		1/32	1	618													
22	22	683/8	683/8	0.125	11/32	11/32	Chord	4/4	1	1	1/32		1/32	1	619													
22	22	171/2	171/2	0.125	3/8	3/8	Chord	4/4	1	1	1/32		1/32	1	620													
22	22	685/8	685/8	0.125	13/32	13/32	Chord	4/4	1	1	1/32		1/32	1	621													
22	22	343/4	343/4	0.125	7/16	7/16	Chord	4/4	1	1	1/32		1/32	1	622	-rem												
22	22	687/8	687/8	0.125	15/32	15/32	Chord	4/4	1	1	1/32		1/32	1	623													
22	22	86	86	0.25	1/2	1/2	Chord	4/4	1	1	1/16		1/16	1	624	fi-												
22	22	345/4	345/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16		1/16	1	625	-li-												
22	22	173/2	173/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	626	-i,												
22	22	175/2	175/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16		1/16	1	627	ob												
22	22	351/4	351/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	628	a-												
22	22	84	84	0.25	0	0	Chord	4/4	2	1	1/16		1/16	1	629													
22	22	337/4	337/4	0.125	1/16	1/16	Chord	4/4	2	1	1/32		1/32	1	630										42			
22	22	675/8	675/8	0.125	3/32	3/32	Chord	4/4	2	1	1/32		1/32	1	631										42			
22	22	169/2	169/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	632										42			
22	22	85	85	0.25	1/4	1/4	Chord	4/4	2	1	1/16		1/16	1	633													
22	22	341/4	341/4	0.125	5/16	5/16	Chord	4/4	2	1	1/32		1/32	1	634										43			
22	22	683/8	683/8	0.125	11/32	11/32	Chord	4/4	2	1	1/32		1/32	1	635										43			
22	22	171/2	171/2	0.125	3/8	3/8	Chord	4/4	2	1	1/32		1/32	1	636										43			
22	22	685/8	685/8	0.125	13/32	13/32	Chord	4/4	2	1	1/32		1/32	1	637										43			
22	22	343/4	343/4	0.125	7/16	7/16	Chord	4/4	2	1	1/32		1/32	1	638										43			
22	22	687/8	687/8	0.125	15/32	15/32	Chord	4/4	2	1	1/32		1/32	1	639													
22	22	86	86	0.25	1/2	1/2	Chord	4/4	2	1	1/16		1/16	1	640													
22	22	345/4	345/4	0.25	9/16	9/16	Chord	4/4	2	1	1/16		1/16	1	641													
22	22	173/2	173/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	642													
22	22	175/2	175/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	643													
22	22	169/2	169/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8		1/8	1	644													
22	22	85	85	0.5	1/4	1/4	Chord	4/4	2	2	1/8		1/8	1	645													
22	22	171/2	171/2	0.25	3/8	3/8	Chord	4/4	2	2	1/16		1/16	1	646													
22	22	343/4	343/4	0.25	7/16	7/16	Chord	4/4	2	2	1/16		1/16	1	647													
22	22	86	86	1.0	1/2	1/2	Chord	4/4	2	2	1/4		1/4	1	648													
22	22	84	84	0.0	0	0	Dynamic	4/4	3	1	0						other-dynamics											
22	22	84	84	0.5	0	0	Chord	4/4	3	1	1/8		1/8	1	649													
22	22	169/2	169/2	0.0	1/8	1/8	Spanner	4/4	3	1	0																	1
22	22	169/2	169/2	0.5	1/8	1/8	Chord	4/4	3	1	1/8		1/8	1	650													1
22	22	85	85	0.5	1/4	1/4	Chord	4/4	3	1	1/8		1/8	1	651													1
22	22	171/2	171/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8		1/8	1	652													1
22	22	86	86	0.0	1/2	1/2	Spanner	4/4	3	1	0																	
22	22	86	86	1.0	1/2	1/2	Chord	4/4	3	1	1/4		1/4	1	653													
22	22	87	87	0.0	3/4	3/4	Dynamic	4/4	3	1	0						p											
22	22	87	87	1.0	3/4	3/4	Chord	4/4	3	1	1/4		1/4	1	654													
23	23	88	88	0.16666666666666666	0	0	Chord	4/4	1	1	1/24		1/16	2/3	655	-mo-									44			
23	23	529/6	529/6	0.16666666666666666	1/24	1/24	Chord	4/4	1	1	1/24		1/16	2/3	656										44			
23	23	265/3	265/3	0.16666666666666666	1/12	1/12	Chord	4/4	1	1	1/24		1/16	2/3	657													
23	23	177/2	177/2	0.16666666666666666	1/8	1/8	Chord	4/4	1	1	1/24		1/16	2/3	658	-rem									45			
23	23	266/3	266/3	0.16666666666666666	1/6	1/6	Chord	4/4	1	1	1/24		1/16	2/3	659										45			
23	23	533/6	533/6	0.16666666666666666	5/24	5/24	Chord	4/4	1	1	1/24		1/16	2/3	660													
23	23	89	89	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	661	fi-									46			
23	23	179/2	179/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16		1/16	1	662													
23	23	359/4	359/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	663	-li-												
23	23	90	90	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	664	-i,												
23	23	91	91	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	665	ob												
23	23	183/2	183/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	666	a-												
23	23	88	88	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	667													
23	23	177/2	177/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	668													
23	23	89	89	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	669													
23	23	179/2	179/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	670													
23	23	90	90	0.375	1/2	1/2	Chord	4/4	2	1	3/32		1/16	3/2	671													
23	23	723/8	723/8	0.125	19/32	19/32	Chord	4/4	2	1	1/32		1/32	1	672													
23	23	181/2	181/2	0.375	5/8	5/8	Chord	4/4	2	1	3/32		1/16	3/2	673													
23	23	727/8	727/8	0.125	23/32	23/32	Chord	4/4	2	1	1/32		1/32	1	674													
23	23	91	91	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	675													
23	23	183/2	183/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	676													
23	23	88	88	0.5	0	0	Chord	4/4	3	1	1/8		1/8	1	677													
23	23	177/2	177/2	0.0	1/8	1/8	Spanner	4/4	3	1	0																0	
23	23	177/2	177/2	0.5	1/8	1/8	Chord	4/4	3	1	1/8		1/8	1	678												0	
23	23	89	89	0.5	1/4	1/4	Chord	4/4	3	1	1/8		1/8	1	679												0	
23	23	179/2	179/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8		1/8	1	680												0	
23	23	90	90	0.0	1/2	1/2	Dynamic	4/4	3	1	0						f											
23	23	90	90	0.0	1/2	1/2	Spanner	4/4	3	1	0																	
23	23	90	90	0.375	1/2	1/2	Chord	4/4	3	1	3/32		1/16	3/2	681													
23	23	723/8	723/8	0.125	19/32	19/32	Chord	4/4	3	1	1/32		1/32	1	682													
23	23	181/2	181/2	0.375	5/8	5/8	Chord	4/4	3	1	3/32		1/16	3/2	683													
23	23	727/8	727/8	0.125	23/32	23/32	Chord	4/4	3	1	1/32		1/32	1	684													
23	23	91	91	0.0	3/4	3/4	Spanner	4/4	3	1	0															1		
23	23	91	91	0.5	3/4	3/4	Chord	4/4	3	1	1/8		1/8	1	685											1		
23	23	183/2	183/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8		1/8	1	686											1		
24	24	92	92	0.0	0	0	Tempo	4/4	1	1	0									Largo	26.0			1.0				
24	24	92	92	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	687	-mo-									47			
24	24	185/2	185/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	688													
24	24	93	93	0.3333333333333333	1/4	1/4	Chord	4/4	1	1	1/12		1/8	2/3	689	-rem									48			
24	24	280/3	280/3	0.3333333333333333	1/3	1/3	Chord	4/4	1	1	1/12		1/8	2/3	690										48			
24	24	281/3	281/3	0.3333333333333333	5/12	5/12	Chord	4/4	1	1	1/12		1/8	2/3	691													
24	24	94	94	0.0	1/2	1/2	Spanner	4/4	1	1	0															2		
24	24	94	94	1.5	1/2	1/2	Chord	4/4	1	1	3/8		1/4	3/2	692	fi-		ornamentTrill								2		
24	24	191/2	191/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	693	-li-										2		
24	24	92	92	4.0	0	0	Chord	4/4	2	1	1		1	1	694													
24	24	92	92	0.0	0	0	Dynamic	4/4	3	1	0						p											
24	24	92	92	0.0	0	0	Spanner	4/4	3	1	0																	
24	24	92	92	1.0	0	0	Chord	4/4	3	1	1/4		1/4	1	695													
24	24	93	93	1.0	1/4	1/4	Chord	4/4	3	1	1/4		1/4	1	696													
24	24	94	94	1.0	1/2	1/2	Chord	4/4	3	1	1/4		1/4	1	697													
24	24	95	95	1.0	3/4	3/4	Chord	4/4	3	1	1/4		1/4	1	698													
24	24	92	92	4.0	0	0	Chord	4/4	3	2	1		1	1	699													
24	24	94	94	0.0	1/2	1/2	Spanner	4/4	3	3	0															3		
24	24	94	94	2.0	1/2	1/2	Chord	4/4	3	3	1/2		1/2	1	700											3		
25	25	96	96	0.0	0	0	Tempo	4/4	1	1	0									𝅘𝅥=36	36.0	𝅘𝅥	36.0	0.0				
25	25	96	96	0.0	0	0	Dynamic	4/4	1	1	0						pp											
25	25	96	96	0.0	0	0	Spanner	4/4	1	1	0																	
25	25	96	96	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	701	-i.												
25	25	96	96	0.0	0	0	Dynamic	4/4	2	1	0						f											
25	25	96	96	0.25	0	0	Chord	4/4	2	1	1/16		1/16	1	702													
25	25	385/4	385/4	0.125	1/16	1/16	Chord	4/4	2	1	1/32		1/32	1	703										49			
25	25	771/8	771/8	0.125	3/32	3/32	Chord	4/4	2	1	1/32		1/32	1	704										49			
25	25	193/2	193/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	705										49			
25	25	97	97	0.25	1/4	1/4	Chord	4/4	2	1	1/16		1/16	1	706													
25	25	389/4	389/4	0.125	5/16	5/16	Chord	4/4	2	1	1/32		1/32	1	707										50			
25	25	779/8	779/8	0.125	11/32	11/32	Chord	4/4	2	1	1/32		1/32	1	708										50			
25	25	195/2	195/2	0.125	3/8	3/8	Chord	4/4	2	1	1/32		1/32	1	709										50			
25	25	781/8	781/8	0.125	13/32	13/32	Chord	4/4	2	1	1/32		1/32	1	710										50			
25	25	391/4	391/4	0.125	7/16	7/16	Chord	4/4	2	1	1/32		1/32	1	711										50			
25	25	783/8	783/8	0.125	15/32	15/32	Chord	4/4	2	1	1/32		1/32	1	712										50			
25	25	98	98	0.0	1/2	1/2	Dynamic	4/4	2	1	0						p											
25	25	98	98	0.25	1/2	1/2	Chord	4/4	2	1	1/16		1/16	1	713													
25	25	393/4	393/4	0.125	9/16	9/16	Chord	4/4	2	1	1/32		1/32	1	714													
25	25	787/8	787/8	0.125	19/32	19/32	Chord	4/4	2	1	1/32		1/32	1	715													
25	25	197/2	197/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	716													
25	25	99	99	0.25	3/4	3/4	Chord	4/4	2	1	1/16		1/16	1	717													
25	25	397/4	397/4	0.125	13/16	13/16	Chord	4/4	2	1	1/32		1/32	1	718										51			
25	25	795/8	795/8	0.125	27/32	27/32	Chord	4/4	2	1	1/32		1/32	1	719										51			
25	25	199/2	199/2	0.125	7/8	7/8	Chord	4/4	2	1	1/32		1/32	1	720										51			
25	25	797/8	797/8	0.125	29/32	29/32	Chord	4/4	2	1	1/32		1/32	1	721										51			
25	25	399/4	399/4	0.125	15/16	15/16	Chord	4/4	2	1	1/32		1/32	1	722										51			
25	25	799/8	799/8	0.125	31/32	31/32	Chord	4/4	2	1	1/32		1/32	1	723													
25	25	193/2	193/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8		1/8	1	724													
25	25	97	97	0.5	1/4	1/4	Chord	4/4	2	2	1/8		1/8	1	725													
25	25	195/2	195/2	0.25	3/8	3/8	Chord	4/4	2	2	1/16		1/16	1	726													
25	25	391/4	391/4	0.25	7/16	7/16	Chord	4/4	2	2	1/16		1/16	1	727													
25	25	197/2	197/2	0.5	5/8	5/8	Chord	4/4	2	2	1/8		1/8	1	728													
25	25	99	99	0.5	3/4	3/4	Chord	4/4	2	2	1/8		1/8	1	729													
25	25	199/2	199/2	0.25	7/8	7/8	Chord	4/4	2	2	1/16		1/16	1	730													
25	25	399/4	399/4	0.25	15/16	15/16	Chord	4/4	2	2	1/16		1/16	1	731													
25	25	96	96	0.0	0	0	StaffText	4/4	3	1	0								a tempo									
25	25	96	96	0.5	0	0	Chord	4/4	3	1	1/8		1/8	1	732													
25	25	193/2	193/2	0.5	1/8	1/8	Chord	4/4	3	1	1/8		1/8	1	733													
25	25	97	97	0.5	1/4	1/4	Chord	4/4	3	1	1/8		1/8	1	734													
25	25	195/2	195/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8		1/8	1	735													
25	25	98	98	0.5	1/2	1/2	Chord	4/4	3	1	1/8		1/8	1	736													
25	25	197/2	197/2	0.5	5/8	5/8	Chord	4/4	3	1	1/8		1/8	1	737										52			
25	25	99	99	0.5	3/4	3/4	Chord	4/4	3	1	1/8		1/8	1	738										52			
25	25	199/2	199/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8		1/8	1	739													
25	25	96	96	0.0	0	0	Spanner	4/4	3	3	0																	
26	26	100	100	0.0	0	0	Dynamic	4/4	2	1	0						f											
26	26	100	100	0.375	0	0	Chord	4/4	2	1	3/32		1/16	3/2	740													
26	26	803/8	803/8	0.125	3/32	3/32	Chord	4/4	2	1	1/32		1/32	1	741													
26	26	201/2	201/2	0.375	1/8	1/8	Chord	4/4	2	1	3/32		1/16	3/2	742													
26	26	807/8	807/8	0.125	7/32	7/32	Chord	4/4	2	1	1/32		1/32	1	743													
26	26	101	101	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	744													
26	26	203/2	203/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	745													
26	26	102	102	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	746													
26	26	100	100	0.375	0	0	Chord	4/4	3	1	3/32		1/16	3/2	747													
26	26	803/8	803/8	0.125	3/32	3/32	Chord	4/4	3	1	1/32		1/32	1	748													
26	26	201/2	201/2	0.375	1/8	1/8	Chord	4/4	3	1	3/32		1/16	3/2	749													
26	26	807/8	807/8	0.125	7/32	7/32	Chord	4/4	3	1	1/32		1/32	1	750													
26	26	101	101	0.5	1/4	1/4	Chord	4/4	3	1	1/8		1/8	1	751			articAccentAbove										
26	26	203/2	203/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8		1/8	1	752			articAccentAbove										
26	26	102	102	1.0	1/2	1/2	Chord	4/4	3	1	1/4		1/4	1	753													
