mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_hairpin	diminuendo_line	HairPin:3_smorz.	decrescendo_hairpin
5	5	19	19	1.0	3/4	3/4	Chord	4/4	3	2	1/4		1/4	1	113														
6	6	20	20	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	114														
6	6	41/2	41/2	1.0	1/8	1/8	Chord	4/4	2	1	1/4		1/4	1	115										19				
6	6	43/2	43/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	116														
6	6	22	22	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	117														
6	6	45/2	45/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	118										20				
6	6	23	23	0.25	3/4	3/4	Chord	4/4	2	1	1/16		1/16	1	119										20				
6	6	93/4	93/4	0.125	13/16	13/16	Chord	4/4	2	1	1/32		1/32	1	120										20				
6	6	187/8	187/8	0.125	27/32	27/32	Chord	4/4	2	1	1/32		1/32	1	121										20				
6	6	47/2	47/2	0.25	7/8	7/8	Chord	4/4	2	1	1/16		1/16	1	122										20				
6	6	95/4	95/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16		1/16	1	123														
6	6	20	20	1.0	0	0	Chord	4/4	2	2	1/4		1/4	1	124														
6	6	21	21	1.0	1/4	1/4	Chord	4/4	2	2	1/4		1/4	1	125														
6	6	22	22	2.0	1/2	1/2	Chord	4/4	2	2	1/2		1/2	1	126														
6	6	20	20	1.0	0	0	Chord	4/4	2	3	1/4		1/4	1	127														
6	6	20	20	0.0	0	0	Dynamic	4/4	3	1	0						f												
6	6	21	21	1.0	1/4	1/4	Chord	4/4	3	1	1/4		1/4	1	128														
6	6	22	22	1.0	1/2	1/2	Chord	4/4	3	1	1/4		1/4	1	129														
6	6	23	23	1.0	3/4	3/4	Chord	4/4	3	1	1/4		1/4	1	130														
6	6	20	20	1.0	0	0	Chord	4/4	3	2	1/4		1/4	1	131														
7	7	24	24	0.0	0	0	Spanner	4/4	2	1	0																		0
7	7	24	24	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	132										21				0
